id,name,guard_name,created_at,updated_at
78,change_gyr_constraint,api,2021-11-22 12:27:59,2021-11-22 12:27:59
79,delete_gyr_constraint,api,2021-11-22 12:27:59,2021-11-22 12:27:59
80,view_gyr_constraint,api,2021-11-22 12:27:59,2021-11-22 12:27:59
81,add_high_level_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
82,change_high_level_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
83,delete_high_level_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
84,view_high_level_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
85,add_high_level_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
86,change_high_level_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
87,delete_high_level_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
88,view_high_level_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
89,add_learning,api,2021-11-22 12:27:59,2021-11-22 12:27:59
90,change_learning,api,2021-11-22 12:27:59,2021-11-22 12:27:59
91,delete_learning,api,2021-11-22 12:27:59,2021-11-22 12:27:59
92,view_learning,api,2021-11-22 12:27:59,2021-11-22 12:27:59
93,add_meeting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
94,change_meeting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
95,delete_meeting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
96,view_meeting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
97,add_meeting_attendee,api,2021-11-22 12:27:59,2021-11-22 12:27:59
98,change_meeting_attendee,api,2021-11-22 12:27:59,2021-11-22 12:27:59
99,delete_meeting_attendee,api,2021-11-22 12:27:59,2021-11-22 12:27:59
100,view_meeting_attendee,api,2021-11-22 12:27:59,2021-11-22 12:27:59
101,add_meeting_minutes,api,2021-11-22 12:27:59,2021-11-22 12:27:59
102,change_meeting_minutes,api,2021-11-22 12:27:59,2021-11-22 12:27:59
103,delete_meeting_minutes,api,2021-11-22 12:27:59,2021-11-22 12:27:59
104,view_meeting_minutes,api,2021-11-22 12:27:59,2021-11-22 12:27:59
105,add_meeting_type,api,2021-11-22 12:27:59,2021-11-22 12:27:59
106,change_meeting_type,api,2021-11-22 12:27:59,2021-11-22 12:27:59
107,delete_meeting_type,api,2021-11-22 12:27:59,2021-11-22 12:27:59
108,view_meeting_type,api,2021-11-22 12:27:59,2021-11-22 12:27:59
109,add_database_notification,api,2021-11-22 12:27:59,2021-11-22 12:27:59
110,change_database_notification,api,2021-11-22 12:27:59,2021-11-22 12:27:59
111,delete_database_notification,api,2021-11-22 12:27:59,2021-11-22 12:27:59
112,view_database_notification,api,2021-11-22 12:27:59,2021-11-22 12:27:59
113,add_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
114,change_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
115,delete_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
116,view_key_deliverable,api,2021-11-22 12:27:59,2021-11-22 12:27:59
117,add_project,api,2021-11-22 12:27:59,2021-11-22 12:27:59
118,change_project,api,2021-11-22 12:27:59,2021-11-22 12:27:59
119,delete_project,api,2021-11-22 12:27:59,2021-11-22 12:27:59
120,view_project,api,2021-11-22 12:27:59,2021-11-22 12:27:59
121,add_project_activity,api,2021-11-22 12:27:59,2021-11-22 12:27:59
122,change_project_activity,api,2021-11-22 12:27:59,2021-11-22 12:27:59
123,delete_project_activity,api,2021-11-22 12:27:59,2021-11-22 12:27:59
124,view_project_activity,api,2021-11-22 12:27:59,2021-11-22 12:27:59
125,add_project_contact,api,2021-11-22 12:27:59,2021-11-22 12:27:59
126,change_project_contact,api,2021-11-22 12:27:59,2021-11-22 12:27:59
127,delete_project_contact,api,2021-11-22 12:27:59,2021-11-22 12:27:59
128,view_project_contact,api,2021-11-22 12:27:59,2021-11-22 12:27:59
129,add_project_setting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
130,change_project_setting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
131,delete_project_setting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
132,view_project_setting,api,2021-11-22 12:27:59,2021-11-22 12:27:59
133,add_revised_end_date_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
134,change_revised_end_date_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
135,delete_revised_end_date_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
136,view_revised_end_date_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
137,add_contingency,api,2021-11-22 12:27:59,2021-11-22 12:27:59
138,change_contingency,api,2021-11-22 12:27:59,2021-11-22 12:27:59
139,delete_contingency,api,2021-11-22 12:27:59,2021-11-22 12:27:59
140,view_contingency,api,2021-11-22 12:27:59,2021-11-22 12:27:59
141,add_mitigation,api,2021-11-22 12:27:59,2021-11-22 12:27:59
142,change_mitigation,api,2021-11-22 12:27:59,2021-11-22 12:27:59
143,delete_mitigation,api,2021-11-22 12:27:59,2021-11-22 12:27:59
144,view_mitigation,api,2021-11-22 12:27:59,2021-11-22 12:27:59
145,add_risk,api,2021-11-22 12:27:59,2021-11-22 12:27:59
146,change_risk,api,2021-11-22 12:27:59,2021-11-22 12:27:59
147,delete_risk,api,2021-11-22 12:27:59,2021-11-22 12:27:59
148,view_risk,api,2021-11-22 12:27:59,2021-11-22 12:27:59
149,add_key_accomplishment,api,2021-11-22 12:27:59,2021-11-22 12:27:59
150,change_key_accomplishment,api,2021-11-22 12:27:59,2021-11-22 12:27:59
151,delete_key_accomplishment,api,2021-11-22 12:27:59,2021-11-22 12:27:59
152,view_key_accomplishment,api,2021-11-22 12:27:59,2021-11-22 12:27:59
153,add_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
154,change_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
155,delete_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
156,view_milestone,api,2021-11-22 12:27:59,2021-11-22 12:27:59
157,add_next_key_step,api,2021-11-22 12:27:59,2021-11-22 12:27:59
158,change_next_key_step,api,2021-11-22 12:27:59,2021-11-22 12:27:59
159,delete_next_key_step,api,2021-11-22 12:27:59,2021-11-22 12:27:59
160,view_next_key_step,api,2021-11-22 12:27:59,2021-11-22 12:27:59
161,add_snapshot,api,2021-11-22 12:27:59,2021-11-22 12:27:59
162,change_snapshot,api,2021-11-22 12:27:59,2021-11-22 12:27:59
163,delete_snapshot,api,2021-11-22 12:27:59,2021-11-22 12:27:59
164,view_snapshot,api,2021-11-22 12:27:59,2021-11-22 12:27:59
165,add_status,api,2021-11-22 12:27:59,2021-11-22 12:27:59
166,change_status,api,2021-11-22 12:27:59,2021-11-22 12:27:59
167,delete_status,api,2021-11-22 12:27:59,2021-11-22 12:27:59
168,view_status,api,2021-11-22 12:27:59,2021-11-22 12:27:59
169,add_billing_faq,api,2021-11-22 12:27:59,2021-11-22 12:27:59
170,change_billing_faq,api,2021-11-22 12:27:59,2021-11-22 12:27:59
171,delete_billing_faq,api,2021-11-22 12:27:59,2021-11-22 12:27:59
172,view_billing_faq,api,2021-11-22 12:27:59,2021-11-22 12:27:59
173,add_coupon,api,2021-11-22 12:27:59,2021-11-22 12:27:59
174,change_coupon,api,2021-11-22 12:27:59,2021-11-22 12:27:59
175,delete_coupon,api,2021-11-22 12:27:59,2021-11-22 12:27:59
176,view_coupon,api,2021-11-22 12:27:59,2021-11-22 12:27:59
177,add_financial_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
178,change_financial_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
179,delete_financial_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
180,view_financial_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
181,add_invoice,api,2021-11-22 12:27:59,2021-11-22 12:27:59
182,change_invoice,api,2021-11-22 12:27:59,2021-11-22 12:27:59
183,delete_invoice,api,2021-11-22 12:27:59,2021-11-22 12:27:59
184,view_invoice,api,2021-11-22 12:27:59,2021-11-22 12:27:59
185,add_invoice_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
186,change_invoice_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
187,delete_invoice_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
188,view_invoice_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
189,add_plan,api,2021-11-22 12:27:59,2021-11-22 12:27:59
190,change_plan,api,2021-11-22 12:27:59,2021-11-22 12:27:59
191,delete_plan,api,2021-11-22 12:27:59,2021-11-22 12:27:59
192,view_plan,api,2021-11-22 12:27:59,2021-11-22 12:27:59
193,add_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
194,change_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
195,delete_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
196,view_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
197,add_subscription_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
198,change_subscription_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
199,delete_subscription_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
200,view_subscription_item,api,2021-11-22 12:27:59,2021-11-22 12:27:59
201,add_feedback,api,2021-11-22 12:27:59,2021-11-22 12:27:59
202,change_feedback,api,2021-11-22 12:27:59,2021-11-22 12:27:59
203,delete_feedback,api,2021-11-22 12:27:59,2021-11-22 12:27:59
204,view_feedback,api,2021-11-22 12:27:59,2021-11-22 12:27:59
205,add_support_category,api,2021-11-22 12:27:59,2021-11-22 12:27:59
206,change_support_category,api,2021-11-22 12:27:59,2021-11-22 12:27:59
207,delete_support_category,api,2021-11-22 12:27:59,2021-11-22 12:27:59
208,view_support_category,api,2021-11-22 12:27:59,2021-11-22 12:27:59
209,add_support_topic,api,2021-11-22 12:27:59,2021-11-22 12:27:59
210,change_support_topic,api,2021-11-22 12:27:59,2021-11-22 12:27:59
211,delete_support_topic,api,2021-11-22 12:27:59,2021-11-22 12:27:59
212,view_support_topic,api,2021-11-22 12:27:59,2021-11-22 12:27:59
213,add_tooltip,api,2021-11-22 12:27:59,2021-11-22 12:27:59
214,change_tooltip,api,2021-11-22 12:27:59,2021-11-22 12:27:59
215,delete_tooltip,api,2021-11-22 12:27:59,2021-11-22 12:27:59
216,view_tooltip,api,2021-11-22 12:27:59,2021-11-22 12:27:59
217,add_tutorial_video,api,2021-11-22 12:27:59,2021-11-22 12:27:59
218,change_tutorial_video,api,2021-11-22 12:27:59,2021-11-22 12:27:59
219,delete_tutorial_video,api,2021-11-22 12:27:59,2021-11-22 12:27:59
220,view_tutorial_video,api,2021-11-22 12:27:59,2021-11-22 12:27:59
221,add_delete_account,api,2021-11-22 12:27:59,2021-11-22 12:27:59
222,change_delete_account,api,2021-11-22 12:27:59,2021-11-22 12:27:59
223,delete_delete_account,api,2021-11-22 12:27:59,2021-11-22 12:27:59
224,view_delete_account,api,2021-11-22 12:27:59,2021-11-22 12:27:59
225,add_login_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
226,change_login_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
227,delete_login_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
228,view_login_history,api,2021-11-22 12:27:59,2021-11-22 12:27:59
229,add_newsletter_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
230,change_newsletter_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
231,delete_newsletter_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
232,view_newsletter_subscription,api,2021-11-22 12:27:59,2021-11-22 12:27:59
233,add_referral,api,2021-11-22 12:27:59,2021-11-22 12:27:59
234,change_referral,api,2021-11-22 12:27:59,2021-11-22 12:27:59
235,delete_referral,api,2021-11-22 12:27:59,2021-11-22 12:27:59
236,view_referral,api,2021-11-22 12:27:59,2021-11-22 12:27:59
237,add_used_project_management_app,api,2021-11-22 12:27:59,2021-11-22 12:27:59
238,change_used_project_management_app,api,2021-11-22 12:27:59,2021-11-22 12:27:59
239,delete_used_project_management_app,api,2021-11-22 12:27:59,2021-11-22 12:27:59
240,view_used_project_management_app,api,2021-11-22 12:27:59,2021-11-22 12:27:59
241,add_user_helped_with,api,2021-11-22 12:27:59,2021-11-22 12:27:59
242,change_user_helped_with,api,2021-11-22 12:27:59,2021-11-22 12:27:59
243,delete_user_helped_with,api,2021-11-22 12:27:59,2021-11-22 12:27:59
244,view_user_helped_with,api,2021-11-22 12:27:59,2021-11-22 12:27:59
245,add_user_info,api,2021-11-22 12:27:59,2021-11-22 12:27:59
246,change_user_info,api,2021-11-22 12:27:59,2021-11-22 12:27:59
247,delete_user_info,api,2021-11-22 12:27:59,2021-11-22 12:27:59
248,view_user_info,api,2021-11-22 12:27:59,2021-11-22 12:27:59
249,access_admin_dashboard,api,2021-11-22 12:27:59,2021-11-22 12:27:59
