id,invoice_id,stripe_invoice_line_id,stripe_price_id,stripe_product_id,stripe_subscription_id,stripe_subscription_item_id,interval,amount,currency,description,created_at,updated_at
48,43,il_1KbRhCE224EiyBrBowPAFVmC,price_1KG26EE224EiyBrB37eySInT,prod_KvtudxpplrRVeE,sub_1KG3ZhE224EiyBrBKMebZ9os,si_KvvQNsx3aJibKI,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-03-09 05:45:02,2022-03-09 05:45:02
49,44,il_1Kjm97E224EiyBrB1drLVLtl,price_1KG259E224EiyBrBTUtszED0,prod_Kvts9HiwMaICnh,sub_1Kjm97E224EiyBrBmrmwej8r,si_LQdPmqfQWRMYlz,year,4800,usd,1 × Annual Premium Plan (at $48.00 / year),2022-04-01 07:12:21,2022-04-01 07:12:21
50,45,il_1KmgUIE224EiyBrBoX4xShXb,price_1KG26EE224EiyBrB37eySInT,prod_KvtudxpplrRVeE,sub_1KG3ZhE224EiyBrBKMebZ9os,si_KvvQNsx3aJibKI,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-04-09 07:46:10,2022-04-09 07:46:10
51,46,il_1KtKIhE224EiyBrBV5aqrjee,price_1KG26EE224EiyBrB37eySInT,prod_KvtudxpplrRVeE,sub_1KG3ZhE224EiyBrBKMebZ9os,si_KvvQNsx3aJibKI,month,-195,usd,Unused time on Monthly Premium Plan after 27 Apr 2022,2022-04-27 15:29:40,2022-04-27 15:29:40
52,46,il_1KtKIhE224EiyBrBQf5HrGVx,price_1KG26EE224EiyBrB37eySInT,prod_KvtudxpplrRVeE,sub_1KG3ZhE224EiyBrBKMebZ9os,si_KvvQNsx3aJibKI,month,0,usd,Trial period for Monthly Premium Plan,2022-04-27 15:29:40,2022-04-27 15:29:40
53,47,il_1LNOJ6E224EiyBrBOKFThwtT,price_1KG259E224EiyBrBTUtszED0,prod_Kvts9HiwMaICnh,sub_1KUHpdE224EiyBrBN7KMJFgm,si_LAd5vZ79XGaZ1y,year,-2801,usd,Unused time on Annual Premium Plan after 19 Jul 2022,2022-07-19 13:50:21,2022-07-19 13:50:21
54,47,il_1LNOJ6E224EiyBrBOpcLacbq,price_1KG259E224EiyBrBTUtszED0,prod_Kvts9HiwMaICnh,sub_1KUHpdE224EiyBrBN7KMJFgm,si_LAd5vZ79XGaZ1y,year,0,usd,Trial period for Annual Premium Plan,2022-07-19 13:50:21,2022-07-19 13:50:21
55,48,il_1LPvyAE224EiyBrBUZApUBlo,price_1KG259E224EiyBrBTUtszED0,prod_Kvts9HiwMaICnh,sub_1KUHpdE224EiyBrBN7KMJFgm,si_LAd5vZ79XGaZ1y,year,4800,usd,1 × Annual Premium Plan (at $48.00 / year),2022-07-26 14:11:15,2022-07-26 14:11:15
56,49,il_1LPxDdE224EiyBrBzCdqoJhw,price_1KG26EE224EiyBrB37eySInT,prod_KvtudxpplrRVeE,sub_1KG3ZhE224EiyBrBKMebZ9os,si_KvvQNsx3aJibKI,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-07-26 15:31:18,2022-07-26 15:31:18
57,50,il_1Lb3VfE224EiyBrBlvYIr9Rc,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-08-26 06:27:47,2022-08-26 06:27:47
58,51,il_1LWN5AE224EiyBrB9ge5Imcq,price_1JJBgyE224EiyBrBPUdnZlvB,prod_Jx5sSUTk5MoJfa,sub_K273BDL4TAG2aZ,si_K27Do0NhcfBb19,year,10000,usd,1 × Annual Premium Plan (at $100.00 / year),2022-08-29 05:59:40,2022-08-29 05:59:40
59,52,il_1LdVecE224EiyBrBbSqYUlyH,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1KDPouE224EiyBrBiW0NZHd8,si_KtCDe24r554UIb,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-09-02 00:55:10,2022-09-02 00:55:10
60,53,il_1Lf4gnE224EiyBrBz2gGaRyG,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhcxKE224EiyBrBdPHRIY7l,si_KMLe2Y3fio2PEL,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-09-06 08:31:54,2022-09-06 08:31:54
61,54,il_1Lf7uXE224EiyBrB8K3CcTKZ,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-09-06 11:58:18,2022-09-06 11:58:18
62,55,il_1LfWnbE224EiyBrBHdMyiCe6,price_1JJBgyE224EiyBrBPUdnZlvB,prod_Jx5sSUTk5MoJfa,sub_K9VJjD5gmFmpCt,si_KBZzGFKd060Ung,year,10000,usd,1 × Annual Premium Plan (at $100.00 / year),2022-09-07 14:32:48,2022-09-07 14:32:48
63,56,il_1Lg9i0E224EiyBrBIQ5WsLJi,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1KxZ0uE224EiyBrB6iCQZJA3,si_Lesm32BmgSeMJC,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-09-09 08:05:37,2022-09-09 08:05:37
64,57,il_1LkPceE224EiyBrBa1c7WV3L,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jc5eOE224EiyBrBToelZRTP,si_KGcuVhZs2GGpYy,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-09-21 01:53:40,2022-09-21 01:53:40
65,58,il_1LlyZXE224EiyBrBqcikMjCy,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LPUudE224EiyBrBcPiWD7QR,si_M7kPdq01ttMcgv,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-09-25 09:24:56,2022-09-25 09:24:56
66,59,il_1LmIFfE224EiyBrBtMilMn8A,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-09-26 06:25:43,2022-09-26 06:25:43
