id,project_id,type,data,created_at,updated_at
564,70,delivery_phase_updated,"{""phase"":""sprint 1""}",2022-03-21 11:37:39,2022-03-21 11:37:39
565,69,delivery_phase_updated,"{""phase"":""epic 1""}",2022-03-21 11:39:35,2022-03-21 11:39:35
566,15,project_mode_updated,"{""mode"":""closed""}",2022-03-21 15:41:35,2022-03-21 15:41:35
567,13,end_date_updated,,2022-03-21 15:43:57,2022-03-21 15:43:57
568,18,project_mode_updated,"{""mode"":""closed""}",2022-03-21 15:45:11,2022-03-21 15:45:11
569,14,end_date_updated,,2022-03-21 15:45:21,2022-03-21 15:45:21
570,77,project_created,,2022-03-21 15:48:18,2022-03-21 15:48:18
571,77,overall_status_updated,"{""status"":""green""}",2022-03-21 15:48:18,2022-03-21 15:48:18
572,77,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-21 15:48:18,2022-03-21 15:48:18
573,77,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-21 15:48:18,2022-03-21 15:48:18
574,77,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-21 15:48:18,2022-03-21 15:48:18
575,4,approved_revised_end_date_updated,,2022-03-23 11:23:45,2022-03-23 11:23:45
576,4,delivery_phase_updated,"{""phase"":""closure steps""}",2022-03-23 12:01:41,2022-03-23 12:01:41
577,60,overall_status_updated,"{""status"":""yellow""}",2022-03-24 07:55:12,2022-03-24 07:55:12
578,60,constraint_status_updated,"{""status"":""yellow"",""constraint"":""schedule""}",2022-03-24 07:55:25,2022-03-24 07:55:25
579,60,start_date_updated,,2022-03-24 07:56:17,2022-03-24 07:56:17
580,60,end_date_updated,,2022-03-24 07:56:30,2022-03-24 07:56:30
581,60,delivery_phase_updated,"{""phase"":""execution""}",2022-03-24 07:56:42,2022-03-24 07:56:42
582,60,delivery_phase_updated,"{""phase"":""planning""}",2022-03-24 07:56:48,2022-03-24 07:56:48
583,60,currency_updated,"{""currency"":""cad""}",2022-03-24 08:03:32,2022-03-24 08:03:32
584,60,original_budget_updated,,2022-03-24 08:03:43,2022-03-24 08:03:43
