user_id,subject,created_at,updated_at
57,meeting_minutes,2022-03-16 00:44:02,2022-03-16 00:44:02
57,project_learnings,2022-03-16 00:44:02,2022-03-16 00:44:02
57,risks_and_changes,2022-03-16 00:44:02,2022-03-16 00:44:02
57,status_report,2022-03-16 00:44:02,2022-03-16 00:44:02
58,action_and_issues,2022-03-16 04:48:48,2022-03-16 04:48:48
58,meeting_minutes,2022-03-16 04:48:48,2022-03-16 04:48:48
58,risks_and_changes,2022-03-16 04:48:48,2022-03-16 04:48:48
58,status_report,2022-03-16 04:48:48,2022-03-16 04:48:48
61,project_learnings,2022-03-17 10:19:27,2022-03-17 10:19:27
65,action_and_issues,2022-03-18 08:39:58,2022-03-18 08:39:58
68,action_and_issues,2022-03-23 14:39:20,2022-03-23 14:39:20
71,action_and_issues,2022-05-11 04:37:25,2022-05-11 04:37:25
71,meeting_minutes,2022-05-11 04:37:25,2022-05-11 04:37:25
71,project_learnings,2022-05-11 04:37:25,2022-05-11 04:37:25
71,risks_and_changes,2022-05-11 04:37:25,2022-05-11 04:37:25
71,status_report,2022-05-11 04:37:25,2022-05-11 04:37:25
72,action_and_issues,2022-05-11 06:07:20,2022-05-11 06:07:20
72,risks_and_changes,2022-05-11 06:07:20,2022-05-11 06:07:20
72,status_report,2022-05-11 06:07:20,2022-05-11 06:07:20
76,action_and_issues,2022-05-21 14:19:41,2022-05-21 14:19:41
76,meeting_minutes,2022-05-21 14:19:41,2022-05-21 14:19:41
76,project_learnings,2022-05-21 14:19:41,2022-05-21 14:19:41
76,risks_and_changes,2022-05-21 14:19:41,2022-05-21 14:19:41
76,status_report,2022-05-21 14:19:41,2022-05-21 14:19:41
79,action_and_issues,2022-06-10 04:34:46,2022-06-10 04:34:46
79,meeting_minutes,2022-06-10 04:34:46,2022-06-10 04:34:46
79,project_learnings,2022-06-10 04:34:46,2022-06-10 04:34:46
79,risks_and_changes,2022-06-10 04:34:46,2022-06-10 04:34:46
79,status_report,2022-06-10 04:34:46,2022-06-10 04:34:46
80,action_and_issues,2022-06-10 07:09:47,2022-06-10 07:09:47
80,project_learnings,2022-06-10 07:09:47,2022-06-10 07:09:47
80,risks_and_changes,2022-06-10 07:09:47,2022-06-10 07:09:47
80,status_report,2022-06-10 07:09:47,2022-06-10 07:09:47
83,action_and_issues,2022-06-15 08:54:25,2022-06-15 08:54:25
83,meeting_minutes,2022-06-15 08:54:25,2022-06-15 08:54:25
83,project_learnings,2022-06-15 08:54:25,2022-06-15 08:54:25
83,risks_and_changes,2022-06-15 08:54:25,2022-06-15 08:54:25
83,status_report,2022-06-15 08:54:25,2022-06-15 08:54:25
84,action_and_issues,2022-06-17 06:49:12,2022-06-17 06:49:12
85,action_and_issues,2022-06-21 05:01:50,2022-06-21 05:01:50
85,meeting_minutes,2022-06-21 05:01:50,2022-06-21 05:01:50
85,project_learnings,2022-06-21 05:01:50,2022-06-21 05:01:50
85,risks_and_changes,2022-06-21 05:01:50,2022-06-21 05:01:50
85,status_report,2022-06-21 05:01:50,2022-06-21 05:01:50
86,action_and_issues,2022-06-22 02:11:46,2022-06-22 02:11:46
87,risks_and_changes,2022-06-27 10:53:04,2022-06-27 10:53:04
88,action_and_issues,2022-06-28 03:46:26,2022-06-28 03:46:26
88,meeting_minutes,2022-06-28 03:46:26,2022-06-28 03:46:26
88,project_learnings,2022-06-28 03:46:26,2022-06-28 03:46:26
88,risks_and_changes,2022-06-28 03:46:26,2022-06-28 03:46:26
88,status_report,2022-06-28 03:46:26,2022-06-28 03:46:26
89,action_and_issues,2022-07-01 00:07:16,2022-07-01 00:07:16
89,meeting_minutes,2022-07-01 00:07:16,2022-07-01 00:07:16
89,project_learnings,2022-07-01 00:07:16,2022-07-01 00:07:16
89,risks_and_changes,2022-07-01 00:07:16,2022-07-01 00:07:16
89,status_report,2022-07-01 00:07:16,2022-07-01 00:07:16
90,action_and_issues,2022-07-07 04:17:17,2022-07-07 04:17:17
90,risks_and_changes,2022-07-07 04:17:17,2022-07-07 04:17:17
91,action_and_issues,2022-07-11 07:16:36,2022-07-11 07:16:36
91,meeting_minutes,2022-07-11 07:16:36,2022-07-11 07:16:36
91,project_learnings,2022-07-11 07:16:36,2022-07-11 07:16:36
91,risks_and_changes,2022-07-11 07:16:36,2022-07-11 07:16:36
91,status_report,2022-07-11 07:16:36,2022-07-11 07:16:36
94,action_and_issues,2022-08-10 20:33:25,2022-08-10 20:33:25
94,meeting_minutes,2022-08-10 20:33:25,2022-08-10 20:33:25
94,project_learnings,2022-08-10 20:33:25,2022-08-10 20:33:25
94,status_report,2022-08-10 20:33:25,2022-08-10 20:33:25
95,action_and_issues,2022-08-23 11:00:20,2022-08-23 11:00:20
95,status_report,2022-08-23 11:00:20,2022-08-23 11:00:20
